"","chr","start","end","strand","pvalue","qvalue","meth.diff"
"306","CP027619.1",153001,154000,"*",2.27124936425477e-94,7.2005079030637e-92,-31.6974639989805
"307","CP027619.1",153501,154500,"*",7.43059666880956e-238,7.0303248746432e-235,-56.274452331494
"324","CP027619.1",162001,163000,"*",2.98309477833741e-19,1.992039122093e-17,36.6865079365079
"325","CP027619.1",162501,163500,"*",1.75252229512184e-195,1.28198064458676e-192,57.9301159012147
"326","CP027619.1",163001,164000,"*",4.86433841815471e-198,3.61067029432231e-195,53.9780060408536
"506","CP027619.1",258001,259000,"*",3.028175491154e-88,9.02773990024715e-86,-49.5970952387709
"507","CP027619.1",258501,259500,"*",5.77717692529349e-67,1.30422521264749e-64,-46.8666222509826
"787","CP027619.1",414501,415500,"*",7.12807124641513e-57,1.36878056494057e-54,-27.7073412253634
"837","CP027619.1",439501,440500,"*",2.35347701146532e-37,3.03210182953258e-35,27.1007271803965
"1062","CP027619.1",553501,554500,"*",6.08146568318753e-71,1.45808557690192e-68,-39.5129797093625
"1063","CP027619.1",554001,555000,"*",1.87237073202821e-31,2.04364034162803e-29,-27.2652432862968
"1531","CP027619.1",793001,794000,"*",2.55481928290881e-13,1.14179512403262e-11,-31.4493237602271
"1622","CP027619.1",839501,840500,"*",1.96948044270601e-06,3.29793115938664e-05,69.2307692307692
"2757","CP027619.1",1435501,1436500,"*",1.25206814462902e-08,3.20649474114082e-07,-50.6148867313916
"2758","CP027619.1",1439501,1440500,"*",2.04662422113297e-32,2.31353017017067e-30,45.9785522788204
"2833","CP027619.1",1478001,1479000,"*",4.33790876300012e-114,1.65317399607672e-111,-34.7940546236686
"2834","CP027619.1",1478501,1479500,"*",8.43735681722801e-71,2.01760562501026e-68,-30.2758663553144
"3486","CP027619.1",1805001,1806000,"*",4.52342453339797e-05,0.000527528293347947,32.2751322751323
"3487","CP027619.1",1805501,1806500,"*",1.69424115754834e-07,3.56161854695046e-06,57.5152966214419
"3580","CP027619.1",1852001,1853000,"*",1.48091899025906e-98,4.87944004812249e-96,-25.2945322913931
"3581","CP027619.1",1852501,1853500,"*",1.0109730883908e-72,2.47841667083452e-70,-31.982057751612
"3603","CP027619.1",1863501,1864500,"*",7.76104164173071e-05,0.000842137302002483,-67.5
"4513","CP027619.1",2747001,2748000,"*",1.12626203665098e-05,0.000156337563585777,25.3913360029123
"4519","CP027619.1",2750001,2751000,"*",5.96167133842626e-19,3.92289779358227e-17,26.9985866812196
"4922","CP027619.1",2953501,2954500,"*",5.90996579122917e-52,1.04299413121041e-49,32.7387734391217
"5010","CP027619.1",2997501,2998500,"*",2.35512738886706e-122,9.70127349482735e-120,-25.6197128198645
"5019","CP027619.1",3002001,3003000,"*",5.30304038893382e-26,4.82472208153262e-24,28.2475378025116
"6196","CP027619.1",3596501,3597500,"*",2.34531208426244e-177,1.50191470879515e-174,-39.4568637156184
"6197","CP027619.1",3597001,3598000,"*",4.33179738136538e-194,3.14341981693403e-191,-53.7586658004574
"6329","CP027619.1",3663501,3664500,"*",1.09228106700282e-55,2.05192208771685e-53,-25.4191061949494
"6374","CP027619.1",3686001,3687000,"*",1.52005159054355e-21,1.14607852158508e-19,30.033493598401
"6375","CP027619.1",3686501,3687500,"*",1.50942378159209e-19,1.02401804693365e-17,31.2171052631579
"6590","CP027619.1",3820501,3821500,"*",1.4727630895696e-35,1.81340860020092e-33,25.1845733777134
"6807","CP027619.1",3929001,3930000,"*",4.22498479471406e-44,6.37458032542888e-42,-25.608728532505
"6825","CP027619.1",3938501,3939500,"*",1.31062364383649e-05,0.000178674968962816,51.0346907993967
"8512","CP027619.1",4875501,4876500,"*",1.00220664973711e-42,1.46114115120528e-40,-27.0422119815668
"8513","CP027619.1",4876001,4877000,"*",6.76956198908483e-44,1.01659458151434e-41,-25.382407253532
"8862","CP027619.1",5061001,5062000,"*",2.89704038622043e-23,2.35853883083256e-21,30.0929263798766
"8863","CP027619.1",5061501,5062500,"*",9.19174811071413e-33,1.05037646286268e-30,39.975845410628
"9802","CP027619.1",5549501,5550500,"*",0,0,-44.2232072638879
"9803","CP027619.1",5550001,5551000,"*",0,0,-35.5786257421617
"9804","CP027619.1",5550501,5551500,"*",1.17153241194393e-317,1.88891231225335e-314,-26.1549162187226
"9807","CP027619.1",5552001,5553000,"*",1.6921560857508e-36,2.13467057028654e-34,-28.6864234368642
"9808","CP027619.1",5552501,5553500,"*",4.30884007609008e-08,1.00858912204577e-06,-40
"9809","CP027619.1",5553001,5554000,"*",4.01858867464635e-18,2.52655549976854e-16,-42.1875
"9810","CP027619.1",5553501,5554500,"*",3.40312678443351e-97,1.10656850236653e-94,-25.6337669316642
"9811","CP027619.1",5554001,5555000,"*",3.69260054308865e-268,4.29075459097678e-265,-26.2707554198582
"9812","CP027619.1",5554501,5555500,"*",1.13289539939001e-269,1.32773391741156e-266,-26.3451815689296
"9840","CP027619.1",5575001,5576000,"*",3.1708706838098e-61,6.52581472166614e-59,-31.8127019535158
"10006","CP027619.1",5658001,5659000,"*",1.17634869036319e-15,6.31665285727271e-14,27.7437550362611
"10412","CP027619.1",5861001,5862000,"*",1.53196927185536e-09,4.5077498948305e-08,-27.926267281106
"10429","CP027619.1",5869501,5870500,"*",2.52761208085794e-65,5.56781653568841e-63,27.2429937327726
"10686","CP027619.1",5998001,5999000,"*",9.49644127968635e-29,9.55203875428798e-27,-26.8725389488101
"10687","CP027619.1",5998501,5999500,"*",1.20607603877373e-18,7.80800274415059e-17,-34.521642394822
"11206","CP027619.1",6284501,6285500,"*",2.33837082181935e-60,4.74970787740788e-58,-29.8384214585332
"11419","CP027619.1",6395501,6396500,"*",1.15833500351194e-68,2.68507079342369e-66,35.6098683766115
"11420","CP027619.1",6396001,6397000,"*",1.64314820500324e-67,3.74360269053941e-65,33.5677491601344
"11531","CP027619.1",6451501,6452500,"*",2.59069646205032e-100,8.70442066779585e-98,-30.7138338274239
"11880","CP027619.1",6631501,6632500,"*",6.34934751478409e-13,2.74250345868821e-11,-26.3065571991754
"11959","CP027619.1",6671001,6672000,"*",1.23692599943405e-20,8.90240406449512e-19,-26.5431920246894
"14140","CP027619.1",7894001,7895000,"*",7.41930283378086e-95,2.36312817295805e-92,-39.0890301131265
"15505","CP027619.1",8605001,8606000,"*",2.3285331570243e-14,1.13922737377668e-12,26.2505174706913
"18331","CP027619.1",10229501,10230500,"*",1.45209769089511e-07,3.08972151687613e-06,29.9167911243866
"18895","CP027619.1",10521501,10522500,"*",3.03706325419248e-204,2.33443502928602e-201,49.8696348834565
"18896","CP027619.1",10522001,10523000,"*",0,0,68.7912175079892
"18897","CP027619.1",10522501,10523500,"*",0,0,64.6221849237434
"18898","CP027619.1",10523001,10524000,"*",1.54977470854549e-96,5.00939396480104e-94,35.4356407267209
"19400","CP027619.1",10851001,10852000,"*",0.000182533547352465,0.00175312242021374,-33.6805555555556
"19461","CP027619.1",10891001,10892000,"*",1.03091225093981e-31,1.13850675202521e-29,-28.0344827586207
"19571","CP027619.1",10946501,10947500,"*",7.68482648429043e-07,1.41100881331381e-05,-31.9444444444444
"19619","CP027619.1",10980501,10981500,"*",0.000585706226990659,0.00466132415169405,-33.8961038961039
"19622","CP027619.1",10985501,10986500,"*",5.85650536003527e-07,1.10185439448634e-05,-35.0856697819315
"19623","CP027619.1",10986001,10987000,"*",6.99416197801919e-10,2.15601699275133e-08,-27.7715472481828
"19624","CP027619.1",10986501,10987500,"*",1.23595191512558e-06,2.17200086127444e-05,-29.5323741007194
"19625","CP027619.1",10987501,10988500,"*",1.23587331308819e-05,0.000169719874806042,-52.0833333333333
"19968","CP027619.1",11169001,11170000,"*",7.89387114643394e-06,0.000114097675217865,29.18863618478
"20518","CP027619.1",11611501,11612500,"*",8.2244405898517e-08,1.83209869519986e-06,38.407960199005
"20519","CP027619.1",11612001,11613000,"*",1.57721194067062e-11,5.92334329633485e-10,31.3261063261063
"20887","CP027619.1",11873501,11874500,"*",1.8408577927795e-05,0.000240839263725035,-41.3793103448276
"20953","CP027619.1",11906501,11907500,"*",5.42153169974514e-12,2.14255473058268e-10,40.7886368454526
"21435","CP027619.1",12201001,12202000,"*",1.8901489046483e-85,5.45014935906876e-83,-39.2656758901935
"21436","CP027619.1",12201501,12202500,"*",1.02746381848299e-58,2.03392303700077e-56,-42.0249644650516
"21441","CP027619.1",12207501,12208500,"*",2.19798529395175e-41,3.10643268053805e-39,39.6258885147774
"21540","CP027619.1",12258501,12259500,"*",8.76210291106607e-57,1.67841854047434e-54,28.1501816806318
"21541","CP027619.1",12259001,12260000,"*",4.13173818965511e-100,1.38565023058014e-97,38.549390054319
"21542","CP027619.1",12259501,12260500,"*",2.00282739945666e-81,5.47659234087655e-79,36.7215201381944
"21573","CP027619.1",12275001,12276000,"*",0.000116899634888201,0.00119610656423515,46.3343108504399
"22078","CP027619.1",12563001,12564000,"*",2.78753259095266e-77,7.26160234778514e-75,34.964887495971
"22165","CP027619.1",12610001,12611000,"*",2.56734584166349e-31,2.78989351549958e-29,-35.6614135625597
"22372","CP027619.1",12715001,12716000,"*",1.40328082577309e-57,2.72734935158065e-55,38.4631832342113
"22658","CP027619.1",12896501,12897500,"*",2.21894992629962e-43,3.29679819856968e-41,-32.8167521145651
"22659","CP027619.1",12897001,12898000,"*",8.48369501662652e-80,2.2842767987159e-77,-32.0678095023453
"22716","CP027619.1",12927501,12928500,"*",1.1076407350672e-36,1.40575963360746e-34,34.2863465684385
"23367","CP027619.1",13338501,13339500,"*",0.000136314537146643,0.00136447737010287,41.1904761904762
"24304","CP027619.1",13833001,13834000,"*",6.55067984681881e-11,2.29356703982046e-09,27.858841331604
"24342","CP027619.1",13852001,13853000,"*",2.26257938024443e-31,2.46460605638731e-29,26.7021574126586
"24855","CP027619.1",14426001,14427000,"*",0.000221192216227395,0.00206050330692755,-27.1749755620723
"25193","CP027619.1",14599001,14600000,"*",3.23921319350534e-30,3.41314867070958e-28,27.9526623758721
"25333","CP027619.1",14672001,14673000,"*",2.38972383295696e-105,8.45121724006632e-103,-27.1403688322935
"25334","CP027619.1",14672501,14673500,"*",9.82049988656823e-197,7.22253368985541e-194,-48.8435448734144
"25335","CP027619.1",14673001,14674000,"*",2.46302168365178e-135,1.1482274191472e-132,-57.3516503976381
"25336","CP027619.1",14673501,14674500,"*",2.3258408538247e-286,3.06163802364868e-283,-73.2542492917847
"25337","CP027619.1",14674001,14675000,"*",0,0,-72.0475642931262
"25338","CP027619.1",14674501,14675500,"*",1.43912594605257e-173,9.02512479944951e-171,-51.8130208592527
"25701","CP027619.1",14928001,14929000,"*",8.76276814451491e-113,3.29797187931808e-110,33.0208568961727
"25702","CP027619.1",14928501,14929500,"*",6.01404860330344e-311,9.20642723438056e-308,58.2382907662289
"25703","CP027619.1",14929001,14930000,"*",0,0,81.2322049212479
"25704","CP027619.1",14929501,14930500,"*",0,0,81.963289914299
"25705","CP027619.1",14930001,14931000,"*",2.58118856521916e-105,9.12240917486782e-103,47.5198659173815
"26002","CP027619.1",15082501,15083500,"*",1.06877577077941e-242,1.04195504356565e-239,-43.5136445549489
"26003","CP027619.1",15083001,15084000,"*",1.45839004633502e-269,1.70188809492782e-266,-45.4427101135544
"26968","CP027619.1",15801501,15802500,"*",1.58038646025773e-58,3.11827070970159e-56,28.9672382244701
"26969","CP027619.1",15802001,15803000,"*",1.85673710751922e-154,1.00086027196733e-151,43.5282242288612
"26970","CP027619.1",15802501,15803500,"*",4.33691856396213e-56,8.21800828803745e-54,27.2283783071572
"27729","CP027619.1",16225501,16226500,"*",0.000312071479078599,0.0027594019128782,32.3979591836735
"28159","CP027619.1",16449501,16450500,"*",3.34039035102073e-09,9.35130842131027e-08,-27.0846394984326
"28586","CP027619.1",16676501,16677500,"*",2.47881190367109e-08,6.04584264575475e-07,31.012036354704
"28812","CP027619.1",16796501,16797500,"*",5.7263013792669e-59,1.14018045862691e-56,25.9059085522694
"28813","CP027619.1",16797001,16798000,"*",2.14010525057191e-81,5.84903429596125e-79,28.2069639279311
"29332","CP027619.1",17087001,17088000,"*",4.85354789342328e-215,3.99554033621551e-212,45.7474448622448
"29333","CP027619.1",17087501,17088500,"*",0,0,60.9207317073171
"29334","CP027619.1",17088001,17089000,"*",1.00191154961383e-81,2.75208538818623e-79,38.9499651729742
"29408","CP027619.1",17125001,17126000,"*",2.08247590801742e-30,2.20838890940663e-28,26.3004889221689
"29409","CP027619.1",17125501,17126500,"*",1.37118684303842e-49,2.30849068960251e-47,34.0636254501801
