"","chr","start","end","strand","pvalue","qvalue","meth.diff"
"306","CP027619.1",153001,154000,"*",2.27124936425477e-94,7.20027247257698e-92,-31.6974639989805
"307","CP027619.1",153501,154500,"*",7.43059666880956e-238,6.98919858613597e-235,-56.274452331494
"323","CP027619.1",162001,163000,"*",2.98309477833741e-19,1.9872040100661e-17,36.6865079365079
"324","CP027619.1",162501,163500,"*",1.75252229512184e-195,1.274481260591e-192,57.9301159012147
"325","CP027619.1",163001,164000,"*",4.86433841815471e-198,3.58954844421203e-195,53.9780060408536
"505","CP027619.1",258001,259000,"*",3.028175491154e-88,9.0292626873934e-86,-49.5970952387709
"506","CP027619.1",258501,259500,"*",5.77717692529349e-67,1.30579141564172e-64,-46.8666222509826
"785","CP027619.1",414501,415500,"*",7.12807124641513e-57,1.36897375121155e-54,-27.7073412253634
"835","CP027619.1",439501,440500,"*",2.35347701146532e-37,3.02796530320524e-35,27.1007271803965
"1060","CP027619.1",553501,554500,"*",6.08146568318753e-71,1.45918547550933e-68,-39.5129797093625
"1061","CP027619.1",554001,555000,"*",1.87237073202821e-31,2.04026650177226e-29,-27.2652432862968
"1529","CP027619.1",793001,794000,"*",2.55481928290881e-13,1.13885158003247e-11,-31.4493237602271
"2752","CP027619.1",1439501,1440500,"*",2.04662422113297e-32,2.30909674515266e-30,45.9785522788204
"2826","CP027619.1",1478001,1479000,"*",4.33790876300012e-114,1.65274933984055e-111,-34.7940546236686
"2827","CP027619.1",1478501,1479500,"*",8.43735681722801e-71,2.01909228174252e-68,-30.2758663553144
"3479","CP027619.1",1805001,1806000,"*",4.52342453339797e-05,0.000525792541815594,32.2751322751323
"3480","CP027619.1",1805501,1806500,"*",1.69424115754834e-07,3.54968386751681e-06,57.5152966214419
"3573","CP027619.1",1852001,1853000,"*",1.48091899025906e-98,4.87743595269614e-96,-25.2945322913931
"3574","CP027619.1",1852501,1853500,"*",1.0109730883908e-72,2.48065690090908e-70,-31.982057751612
"3596","CP027619.1",1863501,1864500,"*",7.76104164173071e-05,0.000839299823314524,-67.5
"4502","CP027619.1",2747001,2748000,"*",1.12626203665098e-05,0.00015583582369622,25.3913360029123
"4508","CP027619.1",2750001,2751000,"*",5.96167133842626e-19,3.9136533920004e-17,26.9985866812196
"4911","CP027619.1",2953501,2954500,"*",5.90996579122917e-52,1.0426326624016e-49,32.7387734391217
