"","chr","start","end","strand","pvalue","qvalue","meth.diff"
"9","CP027619.1",5001,6000,"*",5.85820774218888e-89,9.50576318396731e-87,36.8743078417819
"22","CP027619.1",11501,12500,"*",2.07054738634243e-74,2.40716866301853e-72,35.4878908795515
"133","CP027619.1",67001,68000,"*",1.14329090764233e-10,9.43201635149377e-10,-25.1941346551012
"134","CP027619.1",67501,68500,"*",9.07716397493093e-22,1.63171187912038e-20,-26.9283697953423
"146","CP027619.1",73501,74500,"*",1.98117809689603e-67,1.92587270228782e-65,37.4501683251754
"164","CP027619.1",82501,83500,"*",5.3457351327801e-29,1.39317841182372e-27,-28.6627694556083
"169","CP027619.1",85001,86000,"*",1.14715965500904e-27,2.80830269429245e-26,27.695045322997
"178","CP027619.1",89501,90500,"*",1.14504912296419e-64,1.03645988725538e-62,38.0481355974986
"208","CP027619.1",104501,105500,"*",2.96509454976039e-19,4.6051364262544e-18,25.0577342907494
"218","CP027619.1",109501,110500,"*",5.74703394381589e-22,1.04465691579016e-20,29.5198202022029
"279","CP027619.1",140001,141000,"*",1.67295157004753e-34,5.57982393416732e-33,38.7938809797506
"305","CP027619.1",153001,154000,"*",2.1494130382811e-184,1.31954179195898e-181,-34.1097595566672
"306","CP027619.1",153501,154500,"*",3.13192984931709e-308,4.9087122410821e-305,-48.8181542277334
"324","CP027619.1",162501,163500,"*",4.350831154018e-124,1.27538576345049e-121,42.6734310563064
"325","CP027619.1",163001,164000,"*",1.14656138274663e-251,1.26189115467071e-248,47.5260627404775
"326","CP027619.1",163501,164500,"*",9.60035170029475e-66,8.95670403760468e-64,28.1892215674357
"428","CP027619.1",219501,220500,"*",2.3075686893211e-34,7.65539551497531e-33,27.9872307523379
"484","CP027619.1",247501,248500,"*",4.5203138836333e-33,1.41629942252053e-31,25.6683420745921
"505","CP027619.1",258001,259000,"*",2.47592102682451e-128,7.67748862984575e-126,-66.5731810959613
"506","CP027619.1",258501,259500,"*",1.89420392773826e-53,1.23112451858532e-51,-34.5382530748384
"517","CP027619.1",268501,269500,"*",7.42170965508354e-37,2.72548896116378e-35,-35.2328368660616
"530","CP027619.1",275001,276000,"*",0.00181242312956551,0.00551103981592804,-50.7299270072993
"561","CP027619.1",291001,292000,"*",2.25426590732441e-29,5.97618095855763e-28,25.7750272806166
"582","CP027619.1",301501,302500,"*",3.24495839406414e-285,4.47094781331469e-282,40.6550087646723
"583","CP027619.1",302001,303000,"*",4.92597850240429e-313,7.97180719818677e-310,34.7042725829032
"601","CP027619.1",311001,312000,"*",8.30468884097755e-108,1.89907958131438e-105,25.9405060243233
"659","CP027619.1",350001,351000,"*",1.11019021764634e-34,3.73242266460238e-33,-29.1615377331692
"686","CP027619.1",363501,364500,"*",1.95501854865885e-67,1.90111912172089e-65,-25.7028169886968
"733","CP027619.1",387001,388000,"*",1.42180653880814e-141,5.34880881895284e-139,-56.3736342212383
"734","CP027619.1",387501,388500,"*",1.37313590898342e-130,4.41041900837734e-128,-35.4118858487791
"827","CP027619.1",434001,435000,"*",1.28078273029118e-37,4.84225813662864e-36,-28.0539336357903
"861","CP027619.1",451001,452000,"*",2.18923391513323e-17,3.02008382564515e-16,-25.0398792998527
"1048","CP027619.1",545001,546000,"*",1.85467295986774e-87,2.90435520087024e-85,30.4715437810327
"1052","CP027619.1",547001,548000,"*",7.0250878368928e-199,4.97754772807988e-196,34.047515036882
"1086","CP027619.1",564001,565000,"*",3.51172251824572e-92,6.01969327389615e-90,-25.8691934660541
"1114","CP027619.1",578001,579000,"*",3.4648836551078e-102,7.22005196295133e-100,-30.0375613187379
"1115","CP027619.1",578501,579500,"*",2.36595228672839e-103,5.02000377510526e-101,-30.9433525674166
"1143","CP027619.1",592501,593500,"*",4.01615861519668e-70,4.19157915139031e-68,-34.1773650523512
"1144","CP027619.1",593001,594000,"*",5.36464165525588e-37,1.98070608727082e-35,-28.9623930059211
"1150","CP027619.1",596001,597000,"*",4.40933131781437e-20,7.20272153847277e-19,26.5928142401986
"1164","CP027619.1",603001,604000,"*",2.0013332808296e-24,4.15009968135394e-23,-26.7816342512978
"1237","CP027619.1",644001,645000,"*",1.4074866539731e-39,5.7385505354059e-38,28.5205333919478
"1252","CP027619.1",651501,652500,"*",3.43408326962057e-28,8.63163347034415e-27,-32.4581712218006
"1337","CP027619.1",694001,695000,"*",9.44511588448916e-60,7.44975173451838e-58,-31.6249172410418
"1395","CP027619.1",723001,724000,"*",7.71896037806583e-24,1.5535394713073e-22,26.129548417684
"1403","CP027619.1",727001,728000,"*",9.20174489347327e-21,1.56230587663989e-19,29.6283160732019
"1404","CP027619.1",727501,728500,"*",2.86239156317203e-14,3.18543555892455e-13,25.1737451737452
"1480","CP027619.1",765501,766500,"*",1.40832465480835e-39,5.74153923815257e-38,-33.0661640883351
"1498","CP027619.1",774501,775500,"*",9.55960767280259e-36,3.35775311125771e-34,29.9110026762643
"1535","CP027619.1",793001,794000,"*",6.36224029729481e-81,8.60132116830916e-79,-74.3463581339812
"1536","CP027619.1",793501,794500,"*",9.92111548709634e-40,4.0674342696131e-38,-49.2302059991351
"1537","CP027619.1",794001,795000,"*",1.69394382248532e-06,8.82425949114683e-06,26.3954107566442
"1541","CP027619.1",796001,797000,"*",7.25967437816648e-10,5.54970973608659e-09,-56.687898089172
"1543","CP027619.1",797001,798000,"*",1.44674806289395e-73,1.64866586753851e-71,-26.3292957042957
"1628","CP027619.1",839501,840500,"*",4.09335842727535e-30,1.12221046153378e-28,66.1127419274591
"1729","CP027619.1",890001,891000,"*",8.05153851408856e-47,4.2510879873536e-45,-27.2847212298144
"1730","CP027619.1",890501,891500,"*",3.88510760637411e-73,4.37917301229775e-71,-39.2946439699811
"1755","CP027619.1",903001,904000,"*",8.29559862130829e-39,3.28718203496571e-37,26.9183036632362
"1756","CP027619.1",903501,904500,"*",1.45682594581537e-34,4.87174994041352e-33,25.332054309327
"1806","CP027619.1",928501,929500,"*",5.02597203185162e-10,3.90257150066944e-09,-88.2352941176471
"1836","CP027619.1",943501,944500,"*",2.1798483901168e-46,1.13450012426905e-44,-31.1555745231058
"1856","CP027619.1",953501,954500,"*",7.21926558886723e-134,2.44059364832241e-131,-41.9449394991089
"1857","CP027619.1",954001,955000,"*",2.25491348105609e-208,1.74458222748208e-205,-53.5366783512876
"1860","CP027619.1",955501,956500,"*",1.62485251763253e-31,4.75691141257146e-30,-25.37949984407
"1866","CP027619.1",958501,959500,"*",7.2774204851557e-36,2.5680219250476e-34,-28.4001759301492
"1875","CP027619.1",963001,964000,"*",8.61197292424119e-47,4.54304204241155e-45,30.1071789076202
"1883","CP027619.1",967001,968000,"*",9.44440185719375e-19,1.42232104310733e-17,-26.3515393025106
"1907","CP027619.1",979001,980000,"*",1.56110158226343e-60,1.25834081444951e-58,-36.8083511480052
"1908","CP027619.1",979501,980500,"*",1.15106314890219e-118,3.13400863088256e-116,-51.4367673341505
"1909","CP027619.1",980001,981000,"*",1.25891159684862e-78,1.6183656220527e-76,-48.5251417640227
"1910","CP027619.1",980501,981500,"*",1.18192172062751e-34,3.97016535132329e-33,-34.4462109167992
"1911","CP027619.1",981001,982000,"*",1.69383885824989e-53,1.1019461283918e-51,-50.5901060070671
"1978","CP027619.1",1014501,1015500,"*",7.39791500209909e-24,1.49046052406195e-22,-28.32397045163
"1994","CP027619.1",1022501,1023500,"*",2.19711153949036e-44,1.06571112459777e-42,-41.7037863827595
"2057","CP027619.1",1054001,1055000,"*",3.57027663259e-38,1.37771622985091e-36,-29.0725105935599
"2120","CP027619.1",1085501,1086500,"*",2.82166003821289e-29,7.4504029137968e-28,26.4343729597901
"2121","CP027619.1",1086001,1087000,"*",7.66812523498593e-29,1.98326311340272e-27,26.60346740638
"2144","CP027619.1",1097501,1098500,"*",1.25123778088113e-41,5.51682295856627e-40,30.7549996254962
"2145","CP027619.1",1098001,1099000,"*",3.82781200203589e-37,1.42163399145683e-35,28.8505195626484
"2173","CP027619.1",1112001,1113000,"*",6.3071029981705e-41,2.71114725593342e-39,26.4408290843786
"2220","CP027619.1",1135501,1136500,"*",1.13374480011187e-37,4.29615057639622e-36,28.3831908831909
"2221","CP027619.1",1136001,1137000,"*",4.09824624359779e-44,1.96554836411928e-42,34.2895527106053
"2225","CP027619.1",1138001,1139000,"*",5.9325385091067e-78,7.49954033781672e-76,49.118772237742
"2226","CP027619.1",1138501,1139500,"*",1.26818809854446e-95,2.33565233804388e-93,43.9784826974268
"2227","CP027619.1",1139001,1140000,"*",1.46743861780004e-60,1.18423898558229e-58,32.6851146653127
"2228","CP027619.1",1139501,1140500,"*",4.61774671898811e-64,4.12454362069358e-62,45.3658782534649
"2229","CP027619.1",1140001,1141000,"*",1.01292584922632e-44,4.96872330840286e-43,38.4149488163487
"2274","CP027619.1",1186501,1187500,"*",2.74674292910912e-57,2.01778996545697e-55,-32.2620565514138
"2275","CP027619.1",1187001,1188000,"*",9.89684266234263e-54,6.48866566170456e-52,-33.0067790053468
"2276","CP027619.1",1187501,1188500,"*",2.47575365423947e-25,5.38413423520896e-24,-26.6948031991309
"2279","CP027619.1",1189001,1190000,"*",2.24830324515904e-55,1.55572914443521e-53,36.3236665328152
"2301","CP027619.1",1200001,1201000,"*",6.40429239271808e-37,2.35835243333624e-35,46.4085161016896
"2302","CP027619.1",1200501,1201500,"*",9.48797449388626e-23,1.80059193850738e-21,26.6806722689076
"2323","CP027619.1",1211001,1212000,"*",1.15286292556418e-45,5.84978476233954e-44,28.0745377118523
