"","chr","start","end","strand","pvalue","qvalue","meth.diff"
"14356","CP027619.1",8015001,8016000,"*",0.000286891496369963,0.00154061166729055,31.5527950310559
"17442","CP027619.1",9778501,9779500,"*",9.13393757601386e-11,1.99896356099194e-09,-26.9361413043478
"25406","CP027619.1",14790501,14791500,"*",3.72537355888013e-07,4.02166070842968e-06,-27.3680063041765
"32974","CP027619.1",19284501,19285500,"*",8.50782784194998e-12,2.22787584810839e-10,30.4066819130954
"33653","CP027619.1",19726001,19727000,"*",1.08973058951004e-13,3.88378183489193e-12,27.7423567368259
"47079","CP027619.1",28533001,28534000,"*",1.07353555956699e-137,1.32764386637004e-133,-46.844985707545
"51940","CP027620.1",1920001,1921000,"*",2.39171888024193e-07,2.69139597353951e-06,34.8408980778549
"64393","CP027620.1",8778001,8779000,"*",2.26377892446057e-05,0.000162624663414563,-28.7301587301587
"71288","CP027620.1",12464001,12465000,"*",2.10571918139406e-11,5.16439801161218e-10,-28.3352708672402
"71604","CP027620.1",12672501,12673500,"*",2.90065706098531e-09,4.80162338488103e-08,27.4948024948025
"75229","CP027620.1",14588001,14589000,"*",9.12384462447217e-13,2.81351633716531e-11,25.5312841316898
"76191","CP027620.1",15180001,15181000,"*",3.09141877536932e-15,1.39682175138955e-13,34.9624060150376
"102353","CP027621.1",11932501,11933500,"*",1.49844750228212e-07,1.75845653328585e-06,-27.5618758141554
"105055","CP027621.1",13362001,13363000,"*",8.75097535882088e-08,1.08093307845709e-06,25.2990851513019
"113067","CP027621.1",17805501,17806500,"*",3.57487492554158e-16,1.85457585647681e-14,-32.3746660380324
"113131","CP027621.1",17838501,17839500,"*",4.65527642442487e-13,1.50238064828561e-11,60.0527108433735
"131203","CP027622.1",8187001,8188000,"*",1.58010663545268e-07,1.84531419627729e-06,31.1350059737156
"145383","CP027622.1",17599501,17600500,"*",4.36120404694926e-06,3.71942953567707e-05,-38.1578947368421
"155180","CP027623.1",2125001,2126000,"*",2.12187478545198e-12,6.1632115011685e-11,32.7731092436975
"164022","CP027623.1",7094501,7095500,"*",9.6050327275911e-07,9.48560608654441e-06,30.8928571428571
"164089","CP027623.1",7181001,7182000,"*",3.09245697049221e-06,2.72948916973993e-05,33.6046951912154
"169415","CP027623.1",10278501,10279500,"*",1.11151936815843e-10,2.39622896344853e-09,32.4675324675325
"172445","CP027623.1",12027001,12028000,"*",3.74525987952689e-18,2.56607834070093e-16,-27.486041466624
"173430","CP027623.1",12602001,12603000,"*",1.82621874123201e-10,3.78263142561248e-09,30.7259547765877
"193578","CP027624.1",3145001,3146000,"*",0.00196767276477355,0.00822589497229446,-33.6996336996337
"201089","CP027624.1",7494001,7495000,"*",1.09391272958463e-16,6.12461691419641e-15,32.5525764975581
"210206","CP027624.1",13018501,13019500,"*",0.00154857306972201,0.00669292513889783,-29.0450928381963
"211817","CP027624.1",13888001,13889000,"*",0.00227623338087542,0.00931783221095457,-28.2263060086723
"222398","CP027625.1",442001,443000,"*",0.000871860672009294,0.00407481115206982,-60
"222620","CP027625.1",791501,792500,"*",0.000745506515026689,0.00355710624535493,-29.9363057324841
"228492","CP027625.1",4010001,4011000,"*",0.0010301766901027,0.00471098574477859,28.5714285714286
"231709","CP027625.1",5947001,5948000,"*",0.00118702920235603,0.00532261609368319,-28.3035714285714
"233752","CP027625.1",7373001,7374000,"*",4.81904659155545e-14,1.81850165308482e-12,25.3247173906002
"246616","CP027625.1",14570501,14571500,"*",0.00044528133433449,0.00226651381423313,28.3314669652855
"263692","CP027626.1",8732501,8733500,"*",2.83816603454704e-10,5.6831102466706e-09,31.4633616003479
"278792","CP027626.1",19117001,19118000,"*",1.88842439808696e-10,3.90049059705682e-09,59.4202898550725
"296434","CP027627.1",3180001,3181000,"*",2.45438407105366e-15,1.1256221136787e-13,57.4727555786196
"300106","CP027627.1",5267001,5268000,"*",8.731177962611e-13,2.70130870887924e-11,27.439005219141
"303125","CP027627.1",6844001,6845000,"*",5.15154647198075e-11,1.1805967238805e-09,25.108045212766
"304056","CP027627.1",7370001,7371000,"*",1.27650332122017e-12,3.84079627170934e-11,38.1029634436513
"317973","CP027627.1",16253501,16254500,"*",5.17019843224059e-39,2.36218161772064e-36,-26.9940885486155
"324438","CP027627.1",19970001,19971000,"*",5.25933469878953e-30,1.26295750971387e-27,40.7627484874676
"326325","CP027627.1",21102501,21103500,"*",1.50556233209858e-13,5.2494456226894e-12,25.507299270073
"333810","CP027627.1",25191501,25192500,"*",0.000215606783598068,0.00119868581850258,32.9887218045113
"335370","CP027627.1",26006001,26007000,"*",3.61184316013353e-13,1.18625111283408e-11,-32.4672897196262
"339908","CP027628.1",2149501,2150500,"*",5.7615629194824e-14,2.14574546647966e-12,28.6979819368221
"346229","CP027628.1",6146001,6147000,"*",5.12732432842699e-05,0.000336764726485759,34.875390724001
"379560","CP027629.1",4306001,4307000,"*",1.46654403556658e-05,0.000110287524587401,-34.4827586206897
"388959","CP027629.1",9662501,9663500,"*",3.81718578799849e-08,5.08039092418636e-07,49.8357064622125
"413769","CP027630.1",5712501,5713500,"*",2.50467982569129e-15,1.14675559315952e-13,33.1524616819189
"414368","CP027630.1",6063001,6064000,"*",1.80087239679033e-08,2.5601351042168e-07,27.1816037735849
"417703","CP027630.1",7944001,7945000,"*",0.000115123229764936,0.000689708901024585,25.4510058403634
"421035","CP027630.1",9830001,9831000,"*",1.15382139548012e-10,2.48064306017034e-09,46.2686567164179
"426224","CP027630.1",13086501,13087500,"*",1.05900786926528e-23,1.41170522550915e-21,-26.1235564857431
"429759","CP027630.1",14969501,14970500,"*",1.21680996317285e-07,1.4567586127135e-06,27.3832213716607
"435712","CP027631.1",97501,98500,"*",5.52908050041446e-05,0.000360057877599333,27.8092399403875
"435754","CP027631.1",145501,146500,"*",2.29349546327458e-14,9.06847306238483e-13,30.5116491548652
"449733","CP027631.1",7656501,7657500,"*",1.39454016782066e-14,5.69612398873626e-13,32.9174957906016
"450382","CP027631.1",7997501,7998500,"*",9.25853818627377e-07,9.17138333853253e-06,-33.8028169014084
"451048","CP027631.1",8398001,8399000,"*",1.84373700685275e-08,2.61608252553302e-07,-32.0265151515151
"458312","CP027631.1",13251001,13252000,"*",9.39527569611982e-13,2.88952120882151e-11,34.9827882960413
"481301","CP027632.1",7953501,7954500,"*",1.39773466598182e-14,5.70745850787439e-13,-46.6972954230236
"481989","CP027632.1",8307501,8308500,"*",4.8586963320112e-32,1.38930885463351e-29,-60.6084175957134
"487885","CP027632.1",12206501,12207500,"*",1.17125127201014e-09,2.09147510390524e-08,25.5018357753148
"487886","CP027632.1",12210501,12211500,"*",1.23389268758494e-08,1.81430937945971e-07,29.6822443283475
"497832","CP027632.1",18169001,18170000,"*",2.81666416414979e-07,3.12111305569052e-06,40.6306306306306
"498973","CP027632.1",19036001,19037000,"*",6.6561654881534e-26,1.12099838880012e-23,34.5753198939265
"508842","CP027633.1",839501,840500,"*",7.98868188773499e-07,8.02020859491357e-06,26.9883459415252
"511573","CP027633.1",2350501,2351500,"*",1.17236708462472e-12,3.54530608386939e-11,-44.2049671709963
"524417","CP027633.1",10103501,10104500,"*",2.33113463431092e-60,3.1633031923333e-57,28.2102234410826
"530012","CP027633.1",13732501,13733500,"*",1.08279183939488e-16,6.06547350849173e-15,72.9114971050455
"537463","CP027633.1",18117001,18118000,"*",1.98657130007961e-11,4.89100249096101e-10,33.2452357768814
"538171","CP027633.1",18490501,18491500,"*",2.54059920526226e-10,5.13183309307789e-09,28.8575943483919
"544051","CP027633.1",21837001,21838000,"*",7.04202040450872e-18,4.64924576691703e-16,42.1642079246157
